prompt_num,prompt,eesd_time_s,ar_time_s,acceptance_rate,tokens_accepted,tokens_total,speedup
1,भारत एक विविध देश है जहाँ कई भाषाएँ बोली जाती हैं।,12.86,4.84,0.561,101,180,0.38
2,हिंदी भारत की राजभाषा है और इसे करोड़ों लोग बोलते हैं।,11.52,4.69,0.591,101,171,0.41
3,दिल्ली भारत की राजधानी है और यह एक ऐतिहासिक शहर है।,11.3,4.65,0.623,101,162,0.41
4,ताजमहल आगरा में स्थित है और यह विश्व के सात अजूबों में से एक है।,11.64,4.69,0.595,100,168,0.4
5,गंगा नदी भारत की सबसे पवित्र नदी मानी जाती है।,13.25,4.76,0.505,100,198,0.36
6,भारत में लोकतंत्र की जड़ें बहुत गहरी हैं।,11.33,4.62,0.591,101,171,0.41
7,हिमालय पर्वत भारत की उत्तरी सीमा पर स्थित है।,12.12,4.65,0.546,100,183,0.38
8,भारतीय संविधान विश्व का सबसे लंबा लिखित संविधान है।,11.48,4.7,0.585,100,171,0.41
9,महात्मा गांधी को भारत का राष्ट्रपिता कहा जाता है।,10.47,4.68,0.641,100,156,0.45
10,भारत में अनेक धर्मों के लोग मिलजुल कर रहते हैं।,12.19,4.59,0.552,101,183,0.38
11,कृषि भारतीय अर्थव्यवस्था की रीढ़ है।,10.89,4.65,0.612,101,165,0.43
12,भारत में रेलवे नेटवर्क दुनिया के सबसे बड़े नेटवर्कों में से एक है।,13.61,4.71,0.502,101,201,0.35
13,योग और ध्यान की परंपरा भारत में हजारों वर्ष पुरानी है।,11.42,4.63,0.585,100,171,0.41
14,भारतीय खाना अपने मसालों और स्वाद के लिए दुनिया भर में प्रसिद्ध है।,10.99,4.58,0.635,101,159,0.42
15,चाय भारत में सबसे लोकप्रिय पेय पदार्थ है।,9.56,4.63,0.701,101,144,0.48
16,भारत का अंतरिक्ष कार्यक्रम तेजी से विकसित हो रहा है।,10.78,4.64,0.63,102,162,0.43
17,बॉलीवुड दुनिया का सबसे बड़ा फिल्म उद्योग है।,11.85,4.63,0.565,100,177,0.39
18,क्रिकेट भारत में सबसे लोकप्रिय खेल है।,9.85,4.6,0.673,101,150,0.47
19,भारत में शिक्षा का स्तर लगातार बढ़ रहा है।,10.78,4.6,0.617,100,162,0.43
20,कंप्यूटर विज्ञान आज के युग का सबसे महत्वपूर्ण विषय बन गया है।,11.26,4.63,0.618,102,165,0.41
21,मुंबई को भारत की आर्थिक राजधानी कहा जाता है।,10.91,4.62,0.618,102,165,0.42
22,वाराणसी दुनिया के सबसे पुराने शहरों में से एक है।,12.37,4.77,0.543,101,186,0.39
23,भारतीय शास्त्रीय संगीत की परंपरा बहुत समृद्ध है।,11.83,4.61,0.565,100,177,0.39
24,दीपावली भारत का सबसे बड़ा त्योहार है।,12.35,4.61,0.543,101,186,0.37
25,होली रंगों का त्योहार है जो पूरे भारत में मनाया जाता है।,10.41,4.6,0.66,101,153,0.44
26,राजस्थान अपने किलों और महलों के लिए प्रसिद्ध है।,11.59,4.68,0.58,101,174,0.4
